"YEAR","WEEK","CATEGORY","BRAND","SKU_NAME","COGS_PER_PIECE"
"1","1","Books","Prometheus Publishing","Watership Down","10.8"
"1","1","Books","Prometheus Publishing","The Prophet","10.8"
"1","2","Books","Prometheus Publishing","Lolita","27"
"1","1","Books","Baccus, Apollo & Rosenkatz","Valley of the Dolls","22.5"
"1","2","Books","Baccus, Apollo & Rosenkatz","Divine Comedy","32"
"1","2","Books","Baccus, Apollo & Rosenkatz","Night","9.6"
"1","1","Appliances","Savvy Machines","dishwasher","48"
"1","1","Books","Baccus, Apollo & Rosenkatz","Musashi","11.4"
"1","1","Books","Baccus, Apollo & Rosenkatz","The Grapes of Wrath","13.5"
"1","20","Books","Baccus, Apollo & Rosenkatz","Heidi's Years of Learning and Travel","23.75"
"1","3","Books","Prometheus Publishing","Peyton Place","22.5"
"1","4","Books","Prometheus Publishing","Harry Potter","9.6"
"1","32","Books","Baccus, Apollo & Rosenkatz","Valley of the Dolls","22.5"
"1","3","Books","Prometheus Publishing","The Giver","19"
"1","1","Books","Baccus, Apollo & Rosenkatz","Mockingjay","23.75"
"1","1","Books","Baccus, Apollo & Rosenkatz","The Da Vinci Code","16"
"1","2","Books","Baccus, Apollo & Rosenkatz","Vardi Wala Gunda","20"
"1","2","Books","Baccus, Apollo & Rosenkatz","James Bond","32"
"1","7","Appliances","Kolben, Daněk","convection oven","100"
"1","1","Books","Prometheus Publishing","What to Expect When You're Expecting","32"
"1","2","Books","Prometheus Publishing","Harry Potter and the Order of the Phoenix","38"
"1","2","Books","Prometheus Publishing","The Pillars of the Earth","18"
"1","2","Books","Prometheus Publishing","No Longer Human","18"
"1","2","Books","Baccus, Apollo & Rosenkatz","The Magic School Bus","20"
"1","3","Books","Prometheus Publishing","The Very Hungry Caterpillar","23.75"
"1","4","Books","Prometheus Publishing","Tuesdays with Morrie","16"
"1","5","Books","Prometheus Publishing","You Can Heal Your Life","20"
"1","11","Books","Prometheus Publishing","The Catcher in the Rye","14.25"
"1","4","Books","Prometheus Publishing","The Pillars of the Earth","18"
"1","4","Books","Prometheus Publishing","The Hunger Games","36"
"1","8","Books","Prometheus Publishing","Men Are from Mars, Women Are from Venus","38"
"1","10","Books","Prometheus Publishing","Peyton Place","22.5"
"1","11","Books","Prometheus Publishing","Me Before You","9.6"
"1","5","Books","Baccus, Apollo & Rosenkatz","The Women's Room","19"
"1","6","Books","Prometheus Publishing","The Revolt of Mamie Stover","16"
"1","6","Books","Prometheus Publishing","Charlie and the Chocolate Factory","24"
"1","19","Books","Prometheus Publishing","War and Peace","14.25"
"1","2","Appliances","Kolben, Daněk","convection heater","48"
"1","1","Appliances","Savvy Machines","halogen oven","68.6"
"1","3","Appliances","Savvy Machines","halogen oven","68.6"
"1","5","Books","Prometheus Publishing","The Girl with the Dragon Tattoo","27"
"1","6","Appliances","Savvy Machines","halogen oven","68.6"
"1","6","Appliances","Kolben, Daněk","clothes dryer","61.2"
"1","12","Appliances","Savvy Machines","panini sandwich grill","100"
"1","9","Books","Baccus, Apollo & Rosenkatz","Eye of the Needle","36"
"1","32","Books","Baccus, Apollo & Rosenkatz","James Bond","32"
"1","9","Books","Baccus, Apollo & Rosenkatz","The Neverending Story","22.5"
"1","11","Books","Prometheus Publishing","Where the Wild Things Are","32"
"1","4","Books","Baccus, Apollo & Rosenkatz","Geronimo Stilton","24"
"1","5","Books","Baccus, Apollo & Rosenkatz","The Bridges of Madison County","9.6"
"1","6","Books","Prometheus Publishing","Where the Wild Things Are","32"
"1","7","Books","Prometheus Publishing","War and Peace","14.25"
"1","6","Books","Baccus, Apollo & Rosenkatz","Peter Rabbit","22.5"
"1","5","Books","Baccus, Apollo & Rosenkatz","Mockingjay","23.75"
"1","13","Books","Baccus, Apollo & Rosenkatz","The Magic School Bus","20"
"1","16","Books","Baccus, Apollo & Rosenkatz","The Hunger Games","19"
"1","8","Books","Baccus, Apollo & Rosenkatz","The Neverending Story","22.5"
"1","9","Books","Prometheus Publishing","The Great Gatsby","36"
"1","19","Books","Prometheus Publishing","The Lost Symbol","19"
"1","6","Books","Baccus, Apollo & Rosenkatz","The Neverending Story","22.5"
